Feature,Category,Formula
TP3_vol_ratio_1m_to_5m,Multi-Scale Volatility,TP3_roll_std_1m / (TP3_roll_std_5m + eps)
TP3_vol_ratio_5m_to_1m,Multi-Scale Volatility,TP3_roll_std_5m / (TP3_roll_std_1m + eps)
H1_vol_ratio_1m_to_5m,Multi-Scale Volatility,H1_roll_std_1m / (H1_roll_std_5m + eps)
H1_vol_ratio_5m_to_1m,Multi-Scale Volatility,H1_roll_std_5m / (H1_roll_std_1m + eps)
Reservoirs_vol_ratio_1m_to_5m,Multi-Scale Volatility,Reservoirs_roll_std_1m / (Reservoirs_roll_std_5m + eps)
Reservoirs_vol_ratio_5m_to_1m,Multi-Scale Volatility,Reservoirs_roll_std_5m / (Reservoirs_roll_std_1m + eps)
DV_pressure_vol_ratio_1m_to_5m,Multi-Scale Volatility,DV_pressure_roll_std_1m / (DV_pressure_roll_std_5m + eps)
DV_pressure_vol_ratio_5m_to_1m,Multi-Scale Volatility,DV_pressure_roll_std_5m / (DV_pressure_roll_std_1m + eps)
Motor_current_vol_ratio_1m_to_5m,Multi-Scale Volatility,Motor_current_roll_std_1m / (Motor_current_roll_std_5m + eps)
Motor_current_vol_ratio_5m_to_1m,Multi-Scale Volatility,Motor_current_roll_std_5m / (Motor_current_roll_std_1m + eps)
TP2_cv_5m,Coefficient of Variation,TP2_roll_std_5m / (|TP2_roll_mean_5m| + eps)
TP2_cv_1m,Coefficient of Variation,TP2_roll_std_1m / (|TP2_roll_mean_1m| + eps)
TP3_cv_5m,Coefficient of Variation,TP3_roll_std_5m / (|TP3_roll_mean_5m| + eps)
TP3_cv_1m,Coefficient of Variation,TP3_roll_std_1m / (|TP3_roll_mean_1m| + eps)
H1_cv_5m,Coefficient of Variation,H1_roll_std_5m / (|H1_roll_mean_5m| + eps)
H1_cv_1m,Coefficient of Variation,H1_roll_std_1m / (|H1_roll_mean_1m| + eps)
Reservoirs_cv_5m,Coefficient of Variation,Reservoirs_roll_std_5m / (|Reservoirs_roll_mean_5m| + eps)
Reservoirs_cv_1m,Coefficient of Variation,Reservoirs_roll_std_1m / (|Reservoirs_roll_mean_1m| + eps)
DV_pressure_cv_5m,Coefficient of Variation,DV_pressure_roll_std_5m / (|DV_pressure_roll_mean_5m| + eps)
DV_pressure_cv_1m,Coefficient of Variation,DV_pressure_roll_std_1m / (|DV_pressure_roll_mean_1m| + eps)
Motor_current_cv_5m,Coefficient of Variation,Motor_current_roll_std_5m / (|Motor_current_roll_mean_5m| + eps)
Motor_current_cv_1m,Coefficient of Variation,Motor_current_roll_std_1m / (|Motor_current_roll_mean_1m| + eps)
TP3_per_Current,Electro-Pneumatic Coupling,TP3 / (Motor_current + eps)
TP2_per_Current,Electro-Pneumatic Coupling,TP2 / (Motor_current + eps)
